%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 6
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute attrib_3 numeric
@attribute attrib_4 numeric
@attribute attrib_5 numeric
@attribute attrib_6 numeric
@attribute class {0, 1}
@data
900.45166,-374.1189,105.392456,327.21094,896.64355,-85.90387,1
915.3441,-362.40503,302.59094,651.77673,-183.90607,975.4845,1
-277.79468,-988.0536,-961.51965,421.34973,-886.68945,-518.5902,0
-604.2418,519.3932,322.45557,511.0918,-187.47021,254.19836,1
-769.5838,-347.0027,-304.1587,-602.91327,-832.8617,-240.9544,0
-793.3899,-764.08575,194.32825,459.61755,-39.74597,-874.1317,1
-644.15106,844.7245,718.5936,785.1559,-939.46533,-961.7075,1
-769.195,-191.70111,388.9867,186.1283,539.40076,481.0819,1
-694.629,270.71643,-212.07788,-344.97284,507.18774,-878.9298,1
-149.7724,175.5968,-39.564026,3.4418335,946.9652,157.15405,1
-955.44666,-741.2284,823.02136,-740.96106,670.9586,-404.66376,1
30.44104,-959.0529,740.98364,850.13403,-605.4855,-537.8766,1
873.4281,300.1222,-163.56445,-362.28516,458.9308,934.5001,1
384.13135,76.951904,-212.20245,491.8119,423.57324,-198.344,1
-750.1167,520.7158,-973.9211,979.9031,419.57727,-759.1487,1
-467.18243,8.493652,-784.1057,560.3081,-514.06396,-660.78455,0
-732.87317,248.78333,466.4254,767.70886,-888.533,970.588,0
-567.9497,390.07373,-70.53949,649.2446,744.3666,-18.814697,1
-868.89246,-534.506,232.05798,-839.9854,-690.12244,-316.8916,0
-641.47845,-618.923,-172.13898,-548.0134,844.839,527.4606,1
-389.26953,755.58374,944.97107,-320.28693,608.14026,749.80725,1
-21.782166,-503.80258,-185.35663,883.08777,-305.3122,564.34985,1
-251.83844,-607.5857,-417.2751,68.60608,847.4929,37.697876,1
322.94446,169.58606,377.29932,-733.09216,-748.2703,-399.53864,1
-881.53534,-602.9973,-82.24982,-839.751,-626.3281,850.75635,0
-401.74194,20.11206,-367.5033,7.157776,987.62805,-942.43024,1
617.2715,803.1383,-821.1923,-205.14832,370.42432,-133.0351,1
529.0453,941.4546,545.9513,668.70874,34.471924,-972.70496,1
132.13623,-59.21814,433.80933,-838.33075,459.57947,-548.39197,1
-580.31384,564.5725,538.0569,108.07947,-943.25726,-809.2547,1
517.67725,-682.4811,-211.09058,503.15283,-615.73395,557.4553,0
263.94897,-748.5759,875.849,181.59058,-388.4485,-27.889648,1
-953.4309,632.91943,781.9802,-148.55127,-93.68048,-559.96155,1
85.46155,577.6448,128.82898,-359.73865,-831.77655,-141.4834,0
-52.10974,-396.7672,-680.7133,391.6703,-949.12555,621.3141,0
222.81177,248.20679,-469.37305,-911.91016,54.01758,-132.71625,1
771.2954,603.92505,-837.6206,-842.3078,-479.40912,-72.423035,0
-505.9715,-436.07532,340.43872,-664.5515,375.96777,378.05164,1
-870.07294,655.14404,317.92932,65.04126,-521.08386,-992.4303,1
83.39905,-82.00781,237.6211,-878.1048,439.53735,971.07324,1
876.9387,-19.723694,716.42725,-228.20477,966.23755,504.31116,1
-410.71387,350.56433,-590.21295,12.785645,-657.02,524.2993,0
-40.047974,260.33667,-713.62085,532.2179,-35.266296,-990.7551,1
954.80396,925.7307,-690.80945,291.64392,-727.99585,620.7058,0
74.726685,-212.98834,-61.173767,-930.80426,567.1865,-930.1134,1
-26.080017,619.0476,54.14917,-124.667175,-447.45636,303.6466,0
803.7699,984.7534,-927.2735,540.3661,-168.03369,-147.77124,1
-276.24713,-484.86694,141.70142,671.6384,740.1334,391.83813,1
177.57263,227.40015,-5.065613,-90.84656,720.86035,576.7368,1
619.53687,-586.3518,514.65186,-621.03357,932.6017,926.9158,1
-464.39575,517.379,119.21973,-544.23834,18.362549,-448.1493,1
-178.07074,428.32336,90.60864,495.41895,88.48535,-124.674805,1
-808.8401,425.62183,966.97095,774.49634,320.50024,521.48425,1
447.03882,-162.48816,-387.4303,259.60767,-583.2182,942.64124,0
718.59863,-292.0952,837.92725,402.61963,58.223755,-876.9091,1
-562.2438,-693.91705,-879.9262,-611.8706,-125.64642,-717.7615,1
-316.52954,-781.59937,-447.50635,212.26892,-915.16187,-479.55457,0
-949.3268,-352.70386,-533.1258,-195.28809,465.50525,-8.439575,1
-674.5194,133.81128,-112.11145,870.797,-391.0866,730.36597,0
696.0746,529.6221,125.55774,73.616455,-616.04675,-411.93402,1
-918.8078,-918.4774,-761.4166,-963.77734,-806.4459,-194.8183,0
-660.8018,-42.690918,21.4776,-45.040527,-929.3842,-856.7407,0
-102.177,-467.1914,-372.8078,503.30444,169.87317,862.8281,1
-170.84637,964.81824,-672.1771,392.1958,-18.650146,-572.964,1
-958.5559,-222.8186,475.17468,252.08374,126.958374,974.03064,1
-632.4015,764.08093,30.604614,-677.9169,-733.03284,-724.09155,0
542.3417,-63.429565,513.4181,274.5653,-857.4203,121.11401,1
862.47253,569.8573,-363.2155,-34.974426,-336.4353,447.50024,0
808.0851,870.9685,-833.46246,-891.66565,835.55664,132.79175,1
502.30872,-349.26727,708.77185,674.4055,-539.9727,-337.33282,1
-158.30145,725.88086,-229.64124,879.88257,-298.51898,-161.28949,1
-672.78455,383.64917,341.0238,595.2938,-660.6865,-124.75775,1
264.26392,-64.633484,640.86536,47.379395,-320.14227,606.76074,1
-656.8893,287.53723,-783.4139,93.58496,-192.78625,-174.97284,0
253.8573,-216.88654,-219.6142,-126.84143,-836.7307,-896.61914,1
460.91956,-680.2246,-37.73236,-103.32001,-755.8517,-916.09894,1
148.51514,-610.13696,950.17285,383.18274,813.6671,-219.44965,1
445.52698,-153.72223,527.82446,679.0541,-255.22174,-343.72217,1
941.0144,-570.973,-85.60602,-274.27838,565.626,-324.45044,1
400.02332,-719.3034,-216.18994,457.57227,-240.31818,-829.01276,1
766.42346,572.33203,209.14685,-274.82318,695.18445,-7.433899,1
-127.79486,34.065796,-552.7229,-286.95044,-822.7823,-827.2788,0
-268.2751,-438.8155,-547.2002,60.924805,559.4304,227.07373,1
449.23694,413.74182,-116.14484,-948.286,-751.4084,548.385,0
-733.1052,957.64734,-174.72308,690.4989,504.5785,314.61194,1
380.20837,862.44934,-710.1954,503.43652,495.46802,438.146,1
194.39795,-525.37244,142.74524,13.391968,520.3556,-306.20203,1
-372.35254,-632.3069,-99.774475,-475.70618,-336.70074,-17.07489,1
-80.861694,318.07422,-59.518738,836.203,-513.9062,-730.89496,1
797.8822,-1.2486572,-800.32,429.23096,-105.12775,-50.47003,1
-466.5193,-805.30927,150.52698,-548.18225,-690.9934,-957.8535,1
636.4669,-657.0839,629.062,-673.7006,597.39795,-348.41815,1
212.03845,-453.1327,322.07336,-915.24457,897.703,650.9043,1
-801.2804,-885.3972,987.63025,-342.85754,962.80273,-351.15942,1
-961.4992,172.24377,881.33435,-418.229,-255.92944,214.5481,1
-583.25256,-599.59753,621.6926,169.10925,-225.29736,459.48694,1
-638.14954,-331.48425,664.00635,541.2573,-95.760254,727.1909,1
583.1592,-119.89685,-428.48383,-447.42383,-3.1263428,-40.628113,1
-78.09924,-885.2016,877.23474,-923.0583,374.41675,777.13196,1
-742.0012,-71.83972,115.60681,72.76294,-313.1408,-730.8012,1
314.15955,-940.9299,759.3341,100.825195,-750.04895,-411.1609,1
279.25647,752.0498,-393.4132,308.52917,-985.319,745.05505,0
-118.394714,-773.0851,-495.6557,387.26733,636.0852,-706.8694,1
918.6467,-336.60962,-864.5253,581.3436,590.4514,189.66382,1
826.0397,-600.00946,-495.17572,-255.42853,-953.5945,-73.288635,0
773.1649,204.67212,-608.7528,-184.18018,916.0104,591.18005,1
224.25671,-366.64935,-359.88068,-627.6231,-19.900208,945.4298,0
719.27026,168.88745,-899.8523,-581.0858,574.54175,573.3075,1
-285.64948,-611.0477,198.6637,922.6218,-488.3039,-993.6797,1
180.36255,551.30725,-365.72424,298.08875,-241.55377,-695.03394,1
-114.94269,258.38342,-928.2918,-91.210754,57.044556,-568.3003,1
-930.4457,162.10132,-228.4226,-640.55896,-90.41559,869.6936,0
856.1095,-268.9522,92.191284,-77.39551,-3.1260376,114.29089,1
-931.4346,-994.5435,-830.5704,-264.9933,-392.67743,-965.5823,0
-819.8448,-65.25037,816.3003,-380.69543,-455.66052,-344.45172,1
389.89575,595.29626,-118.40839,584.14624,-611.3511,-15.812805,1
26.875977,-566.1797,656.5967,622.0525,135.55127,250.06287,1
843.26086,-870.34094,203.37549,-402.872,-79.04718,-96.09479,1
627.5121,15.634644,-925.59125,-626.97485,-297.8452,237.1311,0
-111.39966,-114.75122,272.46375,299.7223,871.8888,290.0608,1
163.0863,-70.43085,-474.47784,-476.84735,-547.3893,-663.7316,0
320.62012,182.88257,915.82776,-67.92609,564.90564,672.1896,1
263.1515,27.026611,-295.55627,-756.1001,-633.3418,-844.3925,1
-809.0837,887.21436,-109.15015,745.1969,942.4802,-865.72327,1
48.362793,-425.4934,468.2827,267.95862,721.2258,301.99805,1
-520.9685,-132.78424,-788.2412,986.44507,560.3425,651.9923,1
286.74744,-812.4088,-199.96289,-392.77478,24.232544,-966.3179,1
137.5188,-554.4195,380.45422,-496.01846,642.808,611.1304,1
-634.80273,-901.79443,934.77026,-768.7401,-753.01575,51.140625,0
-487.47705,-308.33252,-694.73254,299.53674,-99.03784,-160.59552,1
304.97363,-480.30377,-799.1989,211.47437,-910.54016,728.0083,0
-114.532166,141.59326,-528.8614,-826.99774,-498.33923,-884.71185,0
-453.67078,307.3141,-676.4087,-343.643,901.40063,-179.8205,1
-991.83673,-467.79657,92.24756,-247.81702,-104.241516,-495.94247,1
-968.5113,869.1666,-212.47632,-635.7335,615.12463,942.5836,1
-801.3026,-58.767883,773.2035,149.16077,836.85925,-992.922,1
-220.76752,-973.4964,661.952,612.3827,687.53577,407.06494,1
-711.1189,-611.43536,566.5886,629.8562,573.57227,766.7141,1
-942.31274,768.7324,365.9469,32.362183,712.1378,-381.96722,1
618.35364,-331.1115,546.4817,740.8152,305.56958,-462.0337,1
304.0963,11.874451,942.5676,103.6499,22.844421,-222.81348,1
878.8207,-872.58936,-317.73114,-996.62445,-997.00757,-955.3662,0
940.1603,-394.7472,-990.5565,-421.21368,-732.8478,-483.56952,0
-41.94055,57.675293,149.3258,-992.53534,-498.51532,366.91467,0
-547.3626,257.93774,858.92505,508.92407,-470.69513,-746.65906,1
-616.74,331.48547,-804.877,-295.42786,-601.7173,-851.9152,0
-681.99817,877.31775,875.4656,-307.02557,431.85168,970.5386,1
474.72632,137.08838,526.26587,997.7356,491.24683,-263.3499,1
-38.716614,-998.37933,330.4779,94.513916,317.8357,872.27637,1
276.03784,984.9851,918.31714,40.83435,520.2925,-773.93304,1
738.0409,-114.836975,-305.01587,-821.2168,477.1737,-188.99841,1
469.35107,111.43298,-325.93042,661.43494,-824.23926,887.33386,0
914.7516,-640.4448,-122.04309,217.81262,-570.3834,503.60986,0
814.59814,-932.0913,-332.72968,10.88739,730.845,710.45557,1
796.7234,846.0477,253.32898,-605.0897,513.011,-628.44495,1
-831.0816,630.5038,-992.37634,922.3253,235.2677,678.9877,1
833.65356,-18.775513,10.456665,449.40552,340.93774,847.73535,1
-803.5708,-150.771,-478.3272,974.98193,-2.4294434,-475.69592,1
-235.36365,-40.95685,-750.85254,172.87903,128.14612,981.4729,0
555.50586,-461.5636,-611.2823,-142.25458,775.56616,-370.7312,1
583.407,-244.38855,814.5332,1.7910156,-586.4252,601.97705,1
-667.2765,-841.5668,4.7627563,527.0016,-359.38824,-777.71515,1
-793.17633,-913.3149,269.90466,-775.51306,-129.5976,460.2964,1
493.6527,-423.29932,350.31763,-663.431,-585.8871,599.8064,0
-136.65454,782.67224,-854.7213,-658.6839,-732.6385,32.54126,0
-912.3031,-662.18994,330.74963,836.22925,-673.6057,-534.9623,1
-374.5608,-220.47864,778.4409,567.1494,-196.11383,813.131,1
-125.12311,167.85327,-790.2345,-876.62585,282.43628,240.12427,1
524.0967,431.2965,-546.2964,747.41223,462.97644,824.808,1
-359.95947,468.13367,-579.955,-691.5445,-590.1758,476.55066,0
386.2693,398.042,685.2428,576.9763,481.5735,-707.6182,1
-155.90546,974.56934,-2.694275,-577.9437,-471.25696,514.8102,0
975.4807,-494.88562,462.58105,935.07996,40.18982,632.23914,1
-204.93945,-254.4115,448.52832,-641.0182,279.55054,593.23157,1
142.83374,300.24023,933.9829,-739.2209,-37.006348,-697.7606,1
742.45703,-184.87146,-882.9763,-90.15387,426.66846,842.1847,1
-489.92245,-447.86566,-650.7623,192.25403,596.4989,-363.31268,1
-793.286,208.67273,46.481567,-426.79047,-671.7686,23.710876,0
708.35535,639.59204,116.5022,-820.3703,-900.5327,-441.34094,0
-548.96893,-430.90863,973.0869,-328.60297,-280.86182,487.9513,1
-614.29224,-327.4516,548.58435,454.79138,128.57837,17.029663,1
286.29053,-624.619,389.2478,-689.2892,-199.14758,-383.42267,1
-926.6416,-733.32764,-717.75244,603.0105,-656.119,-861.8666,0
370.34216,661.22156,-375.56995,931.8231,164.50232,9.752747,1
565.2599,-839.3549,449.82153,30.017456,284.98804,-587.93634,1
821.17786,251.6023,578.0493,588.7179,294.53406,-153.01282,1
717.3363,320.34814,465.6067,854.4928,983.4353,-248.8034,1
309.21985,-165.40631,-883.6822,674.625,308.375,-786.4326,1
-487.69495,816.7656,-239.73792,-820.2294,-821.42914,-36.39569,0
-172.85364,-328.32886,209.40674,580.96985,183.2655,-266.9182,1
-137.07855,-405.51703,954.5747,309.88086,193.80359,-923.40247,1
56.383057,423.8235,-362.773,730.44055,-995.37744,-417.1176,0
940.9342,265.24194,-190.29779,-726.11914,-593.01776,-974.28204,1
-342.40674,-567.98987,531.593,-432.14874,741.00305,-106.84717,1
821.0005,-733.9078,-175.80725,8.759399,-186.85968,-507.92053,1
-91.7995,-160.64423,-850.51746,-577.4418,708.93176,-358.41467,1
-81.742065,-885.7466,-431.2151,725.02014,429.786,126.03174,1
-106.81897,178.80017,-913.4397,-326.23486,236.57056,454.49207,1
-924.7934,70.88574,-241.80719,340.38208,-765.62524,-962.2962,0
926.0676,473.75195,642.08594,355.1311,68.400635,211.50708,1
-781.9964,293.5398,654.7881,-584.13684,950.5553,-734.9439,1
-964.6906,510.6172,235.77966,227.67249,-226.20142,-975.1368,1
-745.76843,-487.86346,-317.71045,764.8379,-685.7716,-52.34491,0
196.83313,740.9098,-345.8263,430.02832,830.5863,-974.44403,1
-676.3508,405.90894,98.277954,-170.50598,-547.58325,139.45642,0
526.85803,256.97095,468.42798,82.739136,-849.6594,437.5332,0
-359.609,-811.18976,232.5542,-969.5666,697.3938,586.4646,1
869.71606,-540.84265,-782.45605,-321.73846,595.4487,657.3811,1
979.5309,428.47498,-855.9365,-406.00122,-464.52728,375.21362,0
123.63623,-606.31335,-109.637634,-268.97302,508.60315,480.80066,1
-637.1168,828.89734,582.3098,848.229,454.3119,-874.40857,1
243.14954,-710.8459,-133.31409,-8.075989,-566.37317,228.50049,0
688.3617,599.5664,859.89087,652.1791,-795.45703,-643.39056,1
139.9801,556.063,-207.68365,549.16565,52.228394,322.95862,1
924.1765,-886.11884,-349.01666,-515.3349,430.98547,-203.70361,1
-325.01227,-562.4582,864.75415,342.58057,894.48645,-146.16705,1
53.597656,-172.76044,-173.68604,767.3258,-244.3404,736.97363,1
591.92993,-389.2531,695.7588,-989.05585,601.5657,843.6304,1
-792.0339,-119.718506,-781.64557,-766.7828,-790.73364,-945.25226,0
589.51636,337.2777,-706.0791,572.0448,427.3744,-713.4291,1
365.09302,455.33667,-318.82013,-424.01056,409.75537,-782.86707,1
-238.56879,-752.7384,-225.14856,202.75818,261.56873,582.41296,1
617.13293,784.2117,967.6367,-773.98346,76.05347,-504.70343,1
-645.299,-484.409,158.54688,341.48096,739.52014,723.33105,1
326.4751,-276.97424,792.1654,-101.31427,-658.01843,-322.50372,1
-795.00916,-949.8746,-947.05914,-522.1481,975.55945,-484.23004,1
490.14758,14.8845825,-19.170776,546.374,-100.16034,-152.1427,1
303.1123,360.49866,-850.3937,324.76965,114.01868,230.52185,1
-677.31604,-246.2417,830.803,-480.52747,255.0929,-750.28406,1
730.23096,12.498596,272.02637,-414.7094,-761.709,-626.8929,1
-555.64703,-856.99207,-290.22345,103.14526,313.0448,-104.66669,1
669.96594,-3.18219,218.80469,-767.9275,211.33496,752.8624,1
-873.89185,409.58472,-478.5656,-854.6631,145.33789,-586.13855,1
-636.22595,-47.70343,833.63745,-890.39685,-258.24835,-297.02917,1
-205.4364,690.0028,-53.6261,-772.1262,-901.4274,-352.97675,0
-278.2851,982.6139,610.8263,749.536,377.76587,164.99512,1
-560.242,-153.2373,-661.47314,756.32874,409.29163,-292.95685,1
833.9004,791.7057,-290.44,557.0299,-772.8546,-599.6937,1
-304.5786,-496.01334,-184.64447,-544.3504,179.02795,603.9469,1
848.629,37.019287,502.14905,981.06885,-15.701843,327.1233,1
-824.0881,108.59729,425.79272,-942.6207,-59.932495,-870.576,1
591.4121,-838.9591,720.8495,924.31555,316.4856,-94.28784,1
-844.05725,-471.54413,313.10376,450.6222,-892.9665,-547.9732,0
-489.6374,894.8645,-521.8668,819.2988,-394.38263,-131.32587,0
510.547,-757.25793,-638.65234,-166.44385,-107.85736,287.88037,1
-916.4326,85.98242,-402.7578,787.63025,574.6957,49.605225,1
-584.08466,-462.89703,-544.9175,-980.9356,-500.96997,-192.45483,0
-86.05994,-556.5143,58.476685,-180.47723,118.88074,719.85645,1
-913.25726,783.99255,47.666992,182.98083,964.5508,-367.58264,1
-380.32202,836.0233,733.4761,918.40735,944.0443,8.224121,1
-718.8358,797.19727,3.364441,-168.55249,-280.02875,-524.399,1
156.3606,-805.1935,835.5508,-926.0908,469.7921,-333.3188,1
-359.88013,-547.47473,79.39099,766.02734,-214.16687,-770.0357,1
-468.45502,919.95105,-123.09796,955.166,-628.1013,-537.896,1
-435.2033,195.90112,-875.99756,106.52637,-280.9275,166.38,0
240.5885,-525.8473,-62.934143,440.9984,612.00903,-545.73645,1
188.90625,287.48608,-219.1784,-549.249,-510.0034,201.54822,0
-861.53644,-106.85864,-848.6846,-663.5768,69.40662,-215.10315,0
-305.3974,-739.86035,516.5967,-225.34766,185.29016,204.77759,1
-310.8247,644.7897,950.00757,-683.9502,272.47485,913.5077,1
720.0753,-10.12738,66.94556,-68.67529,-606.4657,473.66614,0
141.40698,483.81995,505.3932,-546.97485,687.3612,910.66235,1
-186.07776,898.3108,560.4263,-599.3943,837.037,902.18005,1
672.03625,-750.8688,-153.35455,-8.974182,-650.36414,148.62537,0
-434.8379,707.74817,-198.83167,-573.3221,607.2158,140.23962,1
-100.25787,556.2953,570.91174,509.41003,646.9335,232.52039,1
606.8336,-67.46228,-121.73706,-156.84009,279.29688,42.183105,1
41.96277,257.0171,-416.79944,-732.14636,-787.7735,511.23608,0
91.143555,277.06445,890.7157,-799.936,-620.694,-675.6095,1
605.17163,150.54126,116.92175,71.55945,-168.43909,-683.667,1
-497.0017,818.58716,346.2621,-270.88055,95.263916,25.412842,1
757.37683,-182.3371,-499.8433,505.44055,-330.67212,-562.12366,1
-121.00897,-263.14886,702.48645,-447.0829,774.2726,364.49707,1
-580.3547,-339.46307,371.45374,-845.34937,-896.2629,-214.38104,0
985.2554,416.82495,-713.72986,-860.96265,296.00537,-778.6571,1
-56.461792,-610.3218,660.2744,618.2811,-642.2671,904.6636,0
681.41614,-497.12946,782.66956,-716.47906,149.4491,-225.61523,1
258.9132,-954.74976,-553.9575,-999.9937,-809.32764,-577.06555,0
-440.79956,-77.89154,626.9015,-121.2486,963.5636,836.84607,1
-418.36328,172.9419,796.0764,-876.0974,-816.33636,-396.50446,1
-6.901367,21.690857,-36.8042,379.0166,-646.13696,119.26233,0
-836.6804,995.43774,-143.48474,-24.37207,606.5414,957.9497,1
-23.20575,779.1516,-648.15186,222.72168,-754.2561,24.125732,0
-854.7275,-671.31494,831.6731,808.59607,497.03223,-652.1362,1
542.90894,546.9525,-889.1111,503.4298,-678.28345,-357.24268,0
346.4541,587.8711,-963.9106,981.73474,-587.2572,-840.6413,1
-825.0641,981.801,-928.6426,902.6073,913.5238,376.46313,1
770.26196,-488.7802,939.8667,-90.12811,-665.81696,-18.282043,1
419.06702,686.26416,-394.74585,305.15662,521.4586,-956.51294,1
-242.4035,-799.57275,-948.28265,-490.25595,402.10876,754.0582,1
889.9408,654.66125,-947.18396,-385.47992,192.02148,-539.77747,1
43.705322,-265.2486,595.4708,214.0758,565.0552,-435.17932,1
-961.82684,-132.83405,130.8429,-932.6558,-778.615,-700.396,0
-506.1078,961.48145,234.61572,-996.8671,-206.99738,197.03674,1
408.85754,315.50586,-453.62146,-181.60736,75.96228,-468.4546,1
-1.7443237,98.71008,-414.21527,-32.396484,280.69934,-891.9717,1
669.0471,370.5979,870.1289,724.60547,32.70459,939.7512,1
898.198,507.03784,-64.08313,668.6156,19.2417,815.4071,1
-581.4343,-283.088,741.5773,102.89783,-159.42114,86.177,1
397.52478,-604.9586,-560.84375,-999.8481,-742.90955,-368.06403,0
-277.68427,80.31006,682.83594,769.5032,-308.99164,-341.1324,1
678.5332,-680.9612,118.38049,-613.9229,-298.2176,-649.9763,1
-586.41376,-334.44354,-809.1494,889.35803,958.8834,-609.14087,1
898.56445,-879.1077,-767.4249,-41.556396,831.1703,-177.6753,1
516.6842,-403.34595,-642.348,-927.75726,-462.92004,-322.72192,0
885.0753,418.28662,-4.898987,-134.30157,388.10632,418.11865,1
623.54846,-282.3899,35.928345,-251.91986,-863.74927,644.7283,0
-822.63947,-79.87048,239.23022,48.86255,-974.9395,-944.152,0
732.8297,863.1898,-477.73065,137.01062,657.98364,741.50854,1
80.63684,-314.58124,426.1505,-299.28802,145.24329,-79.60278,1
-78.75458,-851.33136,-126.98926,-899.4438,673.24646,919.15564,1
-396.7229,977.1293,376.97205,187.43848,-745.61914,-930.6054,1
265.85498,954.54895,-702.31274,818.3948,149.36938,-834.7385,1
-459.4389,583.3706,-715.90643,464.2245,592.36926,916.0283,1
-327.78156,-903.34326,-407.32098,580.96484,-132.3584,-475.5326,1
548.3883,-613.7261,-81.385315,955.61755,456.6117,46.56543,1
-312.7616,-826.0098,-717.2852,21.327148,-540.07043,-191.01062,0
817.97473,-445.23376,-500.68845,498.5443,458.91907,-11.032227,1
-13.191895,276.14355,-969.5253,830.412,666.54785,951.98267,1
917.6356,-979.40436,425.01624,-739.7439,-24.561218,-605.2967,1
-972.7811,109.083496,-45.389038,-592.01746,278.94812,396.50635,1
-489.6664,-132.32672,-3.9259644,-454.54834,-745.8541,629.0521,0
-664.39246,-837.4933,-235.91443,-2.650879,279.61328,39.805176,1
985.7477,923.00146,-638.12427,96.276245,-962.9844,-14.089172,0
88.552734,-206.0365,71.80066,635.0741,-72.122925,67.0708,1
563.2009,183.15894,230.29456,-134.15161,-865.9283,651.3014,0
989.2571,44.38257,893.0757,717.60474,964.21484,-489.19095,1
-873.14044,-256.47998,-638.8175,310.41956,-845.9167,-864.5046,0
2.5802612,626.5862,-835.3966,-855.0183,716.87915,561.3816,1
947.1936,618.08545,-460.09082,997.22534,-448.23877,-823.13464,1
-756.48303,842.8397,-862.9036,-152.53192,693.5851,531.2529,1
522.7716,-753.99414,-411.7426,-235.46259,293.8838,91.27881,1
238.53943,-810.5712,-300.089,-965.84985,227.27332,939.9208,1
44.0354,-423.4167,-981.18665,-202.61572,-223.14154,-800.9447,1
-109.443665,-904.2853,-911.4833,-276.7373,-81.18805,-561.5377,1
435.7815,407.739,-824.67883,-203.146,145.80505,307.2079,1
-222.93622,-377.93066,-994.24524,22.19629,-19.177551,-767.9155,1
577.6538,-876.3631,125.29724,-77.147095,870.32434,257.89417,1
-102.60498,-994.45544,-44.589966,220.84534,135.64685,286.01624,1
-867.97034,135.35815,-817.4705,-620.35803,324.69434,-725.29456,1
-341.19708,-305.91632,-458.3037,45.160645,456.79724,914.53564,1
-573.7411,-825.7763,735.9144,-609.57117,-799.6884,246.62598,0
-247.5636,949.53735,-369.16534,-611.5292,467.06067,-645.12286,1
41.29602,-879.43604,47.411377,-128.25494,-154.22076,-814.80334,1
619.1022,-773.30273,600.98206,-503.6565,917.7578,617.219,1
151.34045,-728.5586,-144.276,-629.7085,85.11438,-126.3797,1
441.02856,-649.9848,-575.65405,926.45715,972.48425,278.8999,1
-760.81775,-140.97003,-16.352905,-235.61182,707.13135,197.25085,1
19.679443,-988.37085,-969.6025,-361.84058,-995.0121,-44.52588,0
-420.47797,-772.93726,695.84045,-140.88116,649.1316,-196.8905,1
-489.00885,-696.23145,-708.3229,-712.9094,-105.32977,933.15845,0
837.62134,355.96008,290.12683,-681.28955,915.61194,581.77454,1
788.2366,875.56665,-946.24066,208.45215,-435.48083,886.6854,0
-726.7918,397.95398,329.23242,381.64648,-522.2209,998.19714,0
-810.9541,868.75977,-101.47266,-331.7921,555.1161,-266.47302,1
-630.3516,-458.27185,31.222412,-506.54065,792.23694,518.69385,1
-423.0567,38.7063,-215.01764,-255.29718,664.68555,489.90417,1
-774.03516,-128.20465,635.7051,369.10657,-842.7086,-710.4258,1
9.087463,406.61194,354.3921,673.89185,108.982056,-504.04523,1
754.37244,921.0383,-950.78534,61.283936,892.89734,818.56323,1
